No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1	Actinium	Ac	7440-34-8	227	silv metal; cub	1051	3198	10			
2	Actinium bromide	AcBr3	33689-81-5	467	wh hex cry		800 subl	5.85		s H2O	
3	Actinium chloride	AcCl3	22986-54-5	333	wh hex cry		960 subl	4.81			
4	Actinium fluoride	AcF3	33689-80-4	284	wh hex cry			7.88		i H2O	
5	Actinium iodide	AcI3	33689-82-6	608	wh cry					s H2O	
6	Actinium oxide	Ac2O3	12002-61-8	502	wh hex cry	1977		9.19		i H2O	
7	Aluminum	Al	7429-90-5	26.982	silv-wh metal; cub cry	660.32	2519	2.7		i H2O; s acid, alk	
8	Aluminum ammonium sulfate	AlNH4(SO4)2	7784-25-0	237.148	wh powder					sl H2O; i EtOH	
9	"Aluminum ammonium sulfate
dodecahydrate"	AlNH4(SO4)2  12H2O	7784-26-1	453.331	col cry or powder	94.5	>280 dec	1.65		s H2O; i EtOH	
10	Aluminum antimonide	AlSb	25152-52-7	148.742	cub cry	1065		4.26			
11	Aluminum arsenide	AlAs	22831-42-1	101.903	oran cub cry; hyg	1740		3.76			
12	Aluminum borate	2Al2O3  B2O3	11121-16-7	273.543	needles	1050				i H2O	
13	Aluminum boride	AlB2	12041-50-8	48.604	powder	>920 dec		3.19		s dil HCl	
14	Aluminum borohydride	Al(BH4)3	16962-07-5	71.51	flam liq	-64.5	44.5			reac H2O	
15	Aluminum bromate nonahydrate	Al(BrO3)3  9H2O	11126-81-1*	572.826	wh hyg cry	62	>100 dec			s H2O	
16	Aluminum bromide	AlBr3	7727-15-3	266.694	wh-yel monocl cry; hyg	97.5	255	3.2		reac H2O; s bz, tol	
17	Aluminum bromide hexahydrate	AlBr3  6H2O	7784-11-4	374.785	col-yel hyg cry	93		2.54		s H2O, EtOH, CS2	
18	Aluminum carbide	Al4C3	1299-86-1	143.958	yel hex cry	2100	>2200 dec	2.36		reac H2O	
19	Aluminum chlorate nonahydrate	Al(ClO3)3  9H2O	15477-33-5	439.472	hyg cry					vs H2O; s EtOH	
20	Aluminum chloride	AlCl3	7446-70-0	133.34	wh hex cry or powder; hyg	192.6	180 sp	2.48	45.125	s bz, ctc, chl	
21	Aluminum chloride hexahydrate	AlCl3  6H2O	7784-13-6	241.431	col hyg cry	100 dec		2.398	45.125	s EtOH, eth	
22	Aluminum diacetate	Al(OH)(C2H3O2)2	142-03-0	162.078	wh amorp powder					i H2O	
23	Aluminum ethanolate	Al(C2H5O)3	555-75-9	162.163	liq, condenses to wh solid	140				reac H2O; sl xyl	
